searchSlur,Slur,Represents,Reason
bananabender,Banana Bender,Australians,Austrlian slang term for a useless person living in the state of Queensland.
bananame,Bananame,Asians,Banana and anime. Refers to Asians esp. Filipinos who are fixated on Japanese pop culture(anime music etc.) only date Japanese try to be Japanese.
bandwidthnigger/whore,Bandwidth Nigger/Whore,Asians,Represents Asians who instead of using the Asian video game servers they are assigned jump to a US server and hog the bandwidth of US users.
banjolips,Banjo Lips,Blacks,Big lips
bantu,Bantu,Blacks,Comes from the apartheid racial classification for Blacks. Rarely used today. Derogatory
bap,BAP,Blacks,Means Black American Princess. Arrogant female blacks who flaunt their money around and demand the finest things in life.
barcode,Bar Code,Jews,Jewish prisoners were tattooed with a number on their arm while in concentration camps. While the bar code was not invented(or at least patended) until after the war this is a slur in common although incorrect usage.
bara,Bara,Arabs,Arab spelled backwards.
bargainkorean,Bargain Korean,Hawaiians,Hawaiians are sometimes confused for asian but are not quite right.
bat-gwai/bai-guei,Bat-gwai/Bai-guei,Whites,Bat-gwai is the Cantonese for white ghost; or as we more commonly hear it translated white devil. It may be worth noting that white is the color of death and mourning in China as black is in Europe and America.
batman,Batman,Arabs,Women of the Islamic faith who wear a cape(loosely) and mask similar to that of Batman.
bayfrog,Bay Frog,Canadians,Hudson Bay + Frog. Specifically refers to French descendents from Quebec
bazi,Bazi,Germans,Bazi is a Bavarian/Southern German term for a loveable crook.  Pronounced baht-see
bbk,BBK,Blacks,Big Black Cocks. Spelled with a K as in the Korn song of the same title.
bdn,BDN,Blacks,Big Dummy Nigger Comes from the movie The Green Mile. A white prisoner calls a black prisoner a Big Dummy Nigger.
beach-nigger,Beach-Nigger,Whites,Overly-tanned people/surfers.
beanbandit,Bean Bandit,Hispanics,They eat beans.
beanburrito,Bean Burrito,Hispanics,Common Hispanic food is bean burritos and the coloring of the beans is similar to the coloring of their skin.
beandipper,Bean Dipper,Whites,White men or any non-hispanic who date hispanic women.
beanbag,Beanbag,Hispanics,Another slur based on the Hispanics consumption of beans
beaner,Beaner,Hispanics,Because they are known to have a lot of beans in their diet and are also hired many times to pick beans for (sometimes less than) minimum wage.
beanerball,Beaner Ball,Hispanics,Soccer is quite popular in Mexico and South America.
beanershnitzel,Beaner Shnitzel,Mixed Races,German/Hispanic mix
beaniard,Beaniard,Hispanics,Refers to the Spanish origin Spaniard mixed Bean with a commom food in many Mexican dishes.
beanie,Beanie,Jews,Referring to the yarmulke.
bear,Bear,Blacks,Black Educated And Rich
beastieboy,Beastie Boy,Jews,Jews who act Black like the Jewish rap group The Beastie Boys.
beaver-beater,Beaver-Beater,French Canadians,Fur trade.
bebe'skids,Bebe's Kids,Blacks,Reference to a stand up comic's famous bit about Bebe's kids that inspired a movie years later.
bedtime,Bed Time,Asians,Reference to their eyes.
bee-keeper,Bee-Keeper,Afghans,Because Arab women are clothed from head to toe even their faces and they look like bee keepers.
beecher,Beecher,Whites,For white people who kowtow to Black people or racist White People. Derived from the show Oz on HBO where the character Beecher was raped and sodomized by Blacks and Racist whites.
beggar,Beggar,Blacks,Black people often want something for nothing.
belegana,Belegana,Whites,Navajo term which roughly translates to silly white person
belgie,Belgie,Belgians,Shortening of word
bennie,Bennie,Falkland Islanders,The Islanders were named after a less than academically gifted character (Benny) in a mediocre British TV soap (Crossroads) by British troops stationed on the Islands after the failed Argentinian invasion.
bergie,Bergie,Blacks,Originally referring to the primarily coloured hobos who live on Table Mountain near Cape Town.
berrypicker,Berry Picker,Hispanics,Refers to Hispanics who would work berry fields in California specifically illegal immigrants as their employer didn't have to pay them as much.
bet,BET,Blacks,Black Entertainment Television
betty,Betty,Vietnamese,Bouncing Bettys in Vietnam War
bettycrocker,Betty Crocker,Whites,Refers to white women in general
beur,Beur,Arabs,Verlan (French slang) for reube which is itself verlan for Arabe. Usually used for children of migrants from Maghreb settled in France in the 60-70's. Not inherently derogatory.
bfi,BFI,Native Americans,The Big Fucking Indian at the back of the bar you dont want to piss off.
bfi,BFI,Blacks,BFI the name of a waste disposal company is on the side of their dumpsters. Stands for Black Family Inside.
bhindu,Bhindu,Indians,Similar to hillbilly or simpleton. Bindu is a Sanskrit word meaning drop. The word bindi which is the typical red dot worn on the forehead of Indian men and women comes from this word.
bhrempti,Bhrempti,Indians,Their pronunciation of the number 20.
bible-shortener,Bible-Shortener,Jews,Seen on a Conan O'Brien sketch Rednecks' Favorite Euphemisms for Jews backwards refers to the difference between the Christian Bible and the Jewish one.   The Christian Bible includes the New Testament whereas the Jewish Bible does not.
bic-needer,Bic-Needer,French,Most likely because French women don't tend to shave there arm pits and legs.
bigmac,Big Mac,Scottish,A large Scottish man.
bignose,Big Nose,Jews,Refers to how Jews are said to have large noses.
bignose,Big Nose,Whites,Term used by Asians when refering to westerners because of their larger noses
bigred,Big Red,Native Americans,A fat native person. Refference to the gum with the same name.
billyreuben,Billy Reuben,Blacks,The pigment that makes feces brown is called bilirubin
binladen,Bin Laden,Arabs,Self-explanatory
binder,Binder,Indians,slang for turbin
bindi,Bindi,Indians,From the dot that Hindu women wear on their foreheads.
bingo,Bingo,Bengalis,Derogatory used by Indians and Pakistanis
bingo-bongo,Bingo-Bongo,Blacks,Italian wordplay of African names/language
bink,Bink,Mixed Races,Black/Chinese Mix. Black person with Chinese or Chink blood
bipty,Bipty,Indians,When an Indian gives you change at 7-11 they sound like they're saying Here is one dollar and bipty cents.
birdshit,Bird Shit,Whites,Because bird shit is mainly white
birdturd,Bird Turd,Whites,Bird shit is white.
biscuithead,Biscuit Head,Koreans,KATUSAS - Koreans augmented to the United States Army commonly referred to as Biscuit Heads by American GI's because of their square heads.
biscuitlip,Biscuit Lip,Blacks,Reference to large lips.
bixnood,Bix Nood,Blacks,From a racist cartoon spread on the internet where a black man is breaking into a house saying mup da doo ditta po mo BIX NOOD
bjork,Bjork,Icelanders,She's the Icelander everyone knows.
blackbarbie,Black Barbie,Blacks,Refers to a black woman when she wears her hair and makeup to try and look like a white woman.
blackbean,Black Bean,Mixed Races,Mexican/Black. Self Explanitory
blackdagos,Black Dagos,Italians,Believed that some Sicilians are part Black.
blackmagic,Black Magic,Blacks,It has always fascinated researchers how the black folk manage to get there hands on grog money daily. Specific words of the original submitter of which I am fascinated by.
blacktime,Black Time,Blacks,Perceived tendency for Blacks to be late
blackanese,Blackanese,Mixed Races,Black/Asian mix; from a line by Chris Tucker in Rush Hour 2
blackfoot,Blackfoot,French,Possible reference to French-Indian War and/or WW1 and the general sense of French cowardess during wars. Since they had no boots due to the trenches eating them away when they ran their feet became all covered in mud. Or French born in North Africa.
blackhead,Blackhead,Turkish,Turkish workers in Europe are degraded because of their darker hair color than German races.
blackie,Blackie,Blacks,Self-explanatory.
blackout,Blackout,Native Americans,A stereo type of American Indians referencing their prevalence to excessive alcohol consumption.
blackrobe,Blackrobe,Whites,White Missionaries. Native American term.
blackychan,Blacky Chan,Blacks,Blacks who practice martial arts
blanco,Blanco,Whites,Blanco' is Spanish for white or blank.
blanket-ass,Blanket-Ass,Native Americans,From when the US Government gave tribes blankets.. I guess to make up for killing so many of them. The blankets were also rumored to be infested with smallpox.
blaxican,Blaxican,Mixed Races,Black/Mexican mix. Pioneered by the Black/Mexican hip-hop group Delinquent Habits.
bleachboy,Bleach Boy,Whites,Because bleach whitens things
bleck,Bleck,Blacks,Sounds like the word black said with a South African accent. http://imdb.com/title/tt0097733/
blockhoppers,Block Hoppers,Puerto Ricans,Because so many Puerto Ricans live in Apartment Block to Apartment Block
blockbuster,Blockbuster,Blacks,A real estate agent who sells a home in an upper-class white neighborhood to a black family thus lowering the values of other homes in the neighborhood. (This can be stretched to include inviting a black or minority friend over for dinner.)
blockhead,Blockhead,Germans,Refers to the shape of their heads.  Term dates back to the beginning of time.  Used a lot by Charles M. Schulz in The Peanuts comics & cartoons.
blockhead,Blockhead,Macedonians,Shape of their heads; Australian.
bloke,Bloke,British,Used by french canadians to identify english speaking people
blood,Blood,Blacks,LA-based gang. Can be used offensively towards non-gang members.
bloodsucker,Blood Sucker,Romanians,Dracula was a Romanian
blow,Blow,Blacks,Originated from blacks originally living in Africa and using blow guns.
blowfish,Blowfish,Whites,From the pop band Hootie and the Blowfish. The lead singer was black (Hootie) the band was white (The Blowfish).
blt,BLT,Blacks,Big-Lipped Tyrone or for female version Big-Lipped Tyreesha. Inspired from the 80's version of Degrassi Jr. High where the black guy wore a shirt with the phrase BLT his initials.
