searchSlur,Slur,Represents,Reason
cross-dresser,Cross-Dresser,Scottish,The wearing of Kilts (like skirts)
crotchlesspants,Crotchless Pants,Koreans,Refers to some of their characters looking like crotchless pants.
crote,Crote,Croatians,Slang term for Croatians
crouton,Crouton,French,French salad dressing
crow,Crow,Blacks,Relatively large black bird.  Could also be a reference to Jim Crow a popular 19th-century minstrel song that stereotyped African Americans which later was used as the name of the Jim Crow laws  which enforced racial segregation in the South.
crow,Crow,Native Americans,Used against other then Crows. Crows were scouts for the American Military or considered tradors by other Native Americans.
crudo,Crudo,Whites,Literally Raw in Spanish
crumpet-stuffer,Crumpet-Stuffer,British,They eat crumpets with their tea.
crumpet-sucker,Crumpet-Sucker,British,They eat crumpets.
crunchy,Crunchy,Iraqis,Used by US Marines in the second Iraq war.  When the US attacked Iraq Saddam Hussein allegedly told his troops that the American tanks were made of cardboard.  So the Iraqi soldiers would jump out in front of the tanks they would make a crunching sound.
cube,Cube,Cubans,Self-Explanitory
cube,Cube,Eskimos,Referring to their igloos made of cubes
cubs,Cubs,Blacks,Look like cartoon bear cubs.
cuff,Cuff,Blacks,Heard used by white southern Georgia farmers to describe blacks. The origin is that blacks are always being arrested and being handcuffed by the police.
curb-biter,Curb-Biter,Blacks,Having someone bite the curb and kicking him in the back of the head is a painful way to kill someone.  Often as in the movie American History X it is used as punishment for insubordinate blacks.
curry,Curry,Indians,Derivative of Curry Muncher etc.
curry-muncher,Curry-Muncher,Indians,They eat Curry.
custer,Custer,Whites,Used by Native Americans. I guess it means they want to see them dead like General Custer.
cuz,Cuz,Australian Aboriginals,Form of cousin all Aboriginals consider themselves to be from the same family hence they refer to each other as cuz
cygan,Cygan,Gypsy,Polish word for Gypsy used officially but Gypsies prefer to be called Roma. Cygan is becoming unacceptable in the Polish language.
czarnuch,Czarnuch,Blacks,In Polish 'black' (as a color) is 'czarny'. Strongly derogatory.
czigger,Czigger,Mixed Races,Black Czechs
d.f.n.,D.F.N.,Blacks,Dumb Fucking Nigger
d.i.p.,D.I.P.,Indians,Dumb Idiotic Punjab
dabizi,Da Bi Zi,Whites,Used in China it means big nose. Da Bi Zi is the phonetic equivalent of tabeestu.
dagui,Da Gui,Whites,Mandarin Chinese term meaning big demon.
dago,Dago,Italians,Slang for Italian originally coming from Spain. Diego was a common name in Italy at the time this slang was first used. See: Wop.
dago,Dago,Spanish,Apparently the British use dago to describe Spaniards as opposed to Italians.
dagowop,Dagowop,Italians,Combination of two slurs.
dahati,Dahati,Iranians,Like a hillbilly or redneck; a villager or someone from the country
daikon,Daikon,Japanese,The Dakion Radish is very popular is Japanese cooking.
dak,DAK,Koreans,Dumb Ass Korean. Name given to Koreans by the Whites who visit the country.
dampback,DampBack,Mexicans,Part Mexican not quite wet.
dan,DAN,Blacks,Dumb Ass Nigger. Used to conceil racially discrimative remarks towards blacks when present.
dancingdragon,Dancing Dragon,Chinese,During Chinese festivals its typical to see many people in a long dragon costume in which they bounce up and down...usually in larger celebrations
dandruff,Dandruff,Whites,Self-expanatory
darkie,Darkie,Blacks,Skin color.
darkness,Darkness,Blacks,Self Explanatory. Often used to describe a crowd of African Americans.
data,Data,Asians,From the move The Goonies. Data was a stereotypical Asian child prodigy.
dawg,Dawg,Blacks,Some blacks call other Dawgs.  See: Homie
ddangkong,Ddang Kong,Vietnamese,Term used by Koreans to describe Vietnamese.  Literally means peanut.  Reasons for this word: 1) it may be because the word sounds very much like the language. 2) because they are short and Koerans have a tendency to call short people ddang kong (peanuts).
deadseapedestrian,Dead Sea Pedestrian,Jews,See: Red Sea Pedestrian.
dees-right,Dees-Right,Arabs,Arab people always ask Is dees right Is dees right? (meaning 'is this right?')
defendant,Defendant,Blacks,They are known often as this in a court of law
dema,Dema,Icelanders,dema refers to an ancestral deity in many mythologies that is murdered and then from the body comes some form of creation- i.e. a plant or the sky. it's also the name of some lunatic chick who lives in iceland.
demi-nigger,Demi-nigger,Arabs,Somewhat lighter skin tone than Blacks.
democrats,Democrats,Blacks,A popular political affiliation among African Americans. Also in reference to always wanting stuff for free.
deniro,DeNiro,Whites,A white man who dates black women
derkaderka,Derka Derka,Arabs,From Team America: World Police .
desabrido,Desabrido,Whites,Spanish slang for without color or flavorless with no substance.
desi,Desi,Indians,Refers to native Indians non-derogatory even humorous des means country and desi means fellow countrymen
desi,Desi,Cubans,Reference to Desi Arnaz.
destro,Destro,Blacks,Destro is the evil Cobra character from G.I. Joe.
deuce,Deuce,Blacks,On the Philadelphia police form 1=white 2=black
devil,Devil,Whites,Used mainly by Blacks to refer to the evil white man.
dexican,Dexican,Mixed Races,Dutch/Mexican mix.
dholia,Dholia,Whites,Indian for white person
dial,Dial,Jews,During WWII the Nazis would make soap out of the fat of the burned Jews (Dial is a brand of soap). This story is said to be true and also said to be merely war propaganda.
diaper-head,Diaper-Head,Arabs,Same idea as Towel-head or Rag-head.
dib,Dib,Israelis,Dumb Israeli Bastard. Commonly used by American Jews to deride the Israeli culture.
dicksuckinflog,Dicksuckinflog,Dutch,16th Century term for prostitutes accused of witchcraft.
diesel,Diesel,Native Americans,Rhyming slang diesel engine = injun
dimsum,Dim Sum,Chinese,Refers to the food. Used in the movie Romeo Must Die.
dingdong,Ding Dong,Blacks,Black on the outside white on the inside.  Blacks who act white
dinge,Dinge,Blacks,Used in the novel To Kill a Mockingbird.
dingofucker,Dingo Fucker,Australians,See Roofucker
dink,Dink,Vietnamese,Used in the movies Apocalypse Now and Platoon to refer to the North Vietnamese. Comes from French Vietnamese beaucoup dinky dau.  Beaucoup means very in French Dinky Dau is Vietnamese for crazy.  Shortened dink just means crazy
dirt-worshipper,Dirt-Worshipper,Native Americans,Made popular by HBO's Deadwood
dirtyknees,Dirty Knees,Arabs,In reference to the daily Muslim prayings on their knees
dirtysanchez,Dirty Sanchez,Mexicans,Common hispanic name.
ditchpig,Ditchpig,Whites,Redneck kids who play in the ditches/streets.
ditz,Ditz,Whites,Mentally lacking blonde haired white women.
do-da,Do-Da,Blacks,Black people stand by the mail box and ask the mailman Do 'da do 'da welfare check come today?
doener,Doener,Turkish,Avery common Turkish food (meat and vegetables in a roasted bread)
dog-breath,Dog-Breath,Koreans,Eating dogs plus mean temper.
dog-eater,Dog-Eater,Asians,They have been known to eat dogs; as seen on Faces of Death Volumes 1-6.
dog-fucker,Dog-Fucker,Whites,All bestiality porn actors are white
dog-muncher,Dog-Muncher,Asians,See Dog-Eater
dome,Dome,Dominicans,New York origin Washington Heights region. Used by other Hispanics to refer to the Dominicans.
domino,Domino,Mixed Races,Black / White
donkey,Donkey,Irish,It was cheaper to hire an irishman than a donkey in the pennsylvania coal minning days of the 1800's
donkeykong,Donkey Kong,Blacks,Donkey Kong was a large ape.
dootie,Dootie,Blacks,Refers to their dootie-brown skin.
doozers,Doozers,Whites,Used to describe white college students who do nothing but party and pull 2.0 GPAs.
dorito,Dorito,Blacks,Blacks have a fondness for Doritos.
dotknot,Dot Knot,Indians,Dot (red dot on forehead) Knot (turbins on Punjabs)
dot/dot-head,Dot/Dot-Head,Indians,Refers to the bindi (dot) on their foreheads. The dot's significance relates to the marital status of an indian female. Red dot: married; Black dot: single.
dottie,Dottie,Indians,Indians are the smart ones that put the dot in .com
doublea,Double A,Blacks,Shorter version of 'African American.'
doubled,Double D,Arabs,Desert Darky
doubledip,Double Dip,Blacks,Used for extra-dark Blacks appearing as if they were dipped in chocolate twice.
doujin,Doujin,Blacks,Japanese slur for blacks. Dou means dirt jin means person.
douse,Douse,Whites,Pronounced Doosss. Used by British Blacks of Jamaican heritage. Thought to originate from one of the first white men to reach Jamaica possibly a sailor
dozer,Dozer,Hispanics,They always work on in the field of construction thats were Bull Dozer comes into play.
dp,DP,Polish,Dumb Polish pronounced deepee. After World War II displaced refugees of Eastern European origin were referred as Displaced Persons however it stuck around even today to describe Polish immigrants.
drac,Drac,Romanians,Short for Dracula who is from a town in Transylvania which makes up a good deal of modern Romania.
drago,Drago,Russians,Character from Rocky 4 the  big dumb Neanderthal
dreads,Dreads,Jamaicans,Hair style.
dreidl,Dreidl,Jews,Jewish toy
driedshit,Dried Shit,Whites,Shit turns white after being left alone
drongo,Drongo,Australians,A drongo is a very Australian word for an idiot
drunk,Drunk,Irish,Irish are stereotypically drunks.
dryback,Dryback,Canadians,Canadian cross the border on land mostly unlike many Mexicans who do so via the Rio Grande (see Wetback)
drywaller,Drywaller,Hispanics,Hispanics do a lot of construction work and are usually paid very little or nothing.
dub,Dub,Ukrainians,Dumb Ukrainian Bastard.
dubya,Dubya,Americans,The not-so-bright president
duck,Duck,Vietnamese,Based on noises made by Vietnamese people speaking in their native tongue everything comes out sounding like duk-duk-duk. Also in reference to how old women walk.
dukenukem,Duke Nukem,Americans,Used the first Atomic bomb.
dumbwet,Dumb Wet,Hispanics,Variation of Wet-Back as used on an episode of X-Files.
dumb-inican,Dumb-inican,Dominicans,People from Domincan Republic
dunecoon,Dune Coon,Arabs,Comes from 'coon' (Blacks) of the 'dunes' (sand dunes) in the Middle East. Also just Dunecoon
dunenigger,Dune Nigger,Arabs,Same ideas as Doon Coon and Sand Nigger.
durka-durka,Durka-durka,Arabs,How English-speakers hear their language(s).  From the film Team America: World Police
dustynuts,Dusty Nuts,Arabs,It comes from Arabs living in the desert.
dwb,DWB,Whites,Down With Brown. A white female who dates black men.
dwb,DWB,Blacks,Driving While Black.  Police-type term referring to blacks driving through white neighborhoods.
dwo,DWO,Asians,Driving While Oriental. Based on the idea that being Asian and driving is just as dangerous as being intoxicated and driving.
dyke,Dyke,Dutch,The country owes its existence to the many dikes that were used to reclaim land from the sea also from the story of the Dutch boy who used his finger to plug a leaking dike to save his town. Van Dyk/Dijk/Dyke is also a very distinctive Dutch last name.
dyke-jumper,Dyke-Jumper,Dutch,Because of all the dykes in Holland Dutch farmers used to use long wooden poles to pole-vault from one section of farmland to another.
easy-bakenigger,Easy-Bake Nigger,Jews,WWII reference.
egg,Egg,Whites,White males that try to really get into East Asian culture and date Asian women. White on the outside yellow on the inside (opposite of banana).
egghead,Egghead,Asians,Asians especially Koreans have large heads.
egglet,Egglet,Blacks,Black Children -- little eggplant.
eggot,Eggot,Blacks,Tagalog word for black (Phillipines)
eggplant,Eggplant,Blacks,Slur used mainly by Italians. See: Moolie.
eggplantparmesan,Eggplant Parmesan,Mixed Races,Black/Italian mix
eggroll,Eggroll,Asians,Refers to Asian babies who would be wrapped in blankets.
egot,Egot,Blacks,A derogatory term used by Filipinos meaning nigger.
egoy,Egoy,Blacks,Filipino racial slang for Black people
eightball,Eight Ball,Blacks,Color of the eight ball in pool
elchino,El Chino,Chinese,It was used by Equadors in addressing Alberto Fujimori during war as a result of Berlin Congress in 19c where borders left apart. The war was almost on Cocain- main source for living in Latin America. Fujimori is Japanese decent immigrated to Peru at 5.
elephantjockey,Elephant Jockey,Indians,Elephants were a popular mode of transport in Victorian and Pre-Victorian Asia
elevatoroperator,Elevator Operator,Blacks,Non-demanding job for education-less/trade-less person.
elvis,Elvis,Whites,Used by blacks to describe a white person doing black things like Elvis did with black music.  Eminem is referred to as Elvis in the film 8 Mile
eminem,Eminem,Whites,White male who tries to act Black
eraserhead,Eraser Head,Blacks,During the late 80's and early 90's it was popular for blacks to cut their hair at an angle forming a bevel that look similar to those pink erasers that you used in grade school.
es-obe,Es-obe,Blacks,Meaning Apes Obey! Used by British Colonial masters in Africa commanding the African workers to get to work. The early colonized Africans not knowing the meaning of the command also cultivated it into their language- using it among themselves to gather themselves to work efficiently.
esau,Esau,Whites,Hebrew Israelites refer to whites as being the actual color of red. A white person laughs gets angry slapped and cries will turn red. Also being the direct lineage of Easu as oppose to Blacks and American Indians being the lineage of Jacob according to Genenis chp.25 vers 25 and Genesis chp. 36. Doing research of the Roman Empire you will find that the Romans were known as the Edomites. King Herod was an Edomite and before Rome was known as Rome it was known as the city of Edom.
eskimo,Eskimo,Native Americans,Eskimo was once acceptable in Canada and still is almost anywhere else. It means raw meat eater. Eskimo orginated from southern Indian tribes describing the northern Inuit whom they were constantly fighting. Inuit take offence to being called Eskimos despite the fact that they do eat raw meat.
etch,Etch,Indians,Some say their music sounds like etch-a-sketch.
etchy,Etchy,Whites,Comes from Sketchy and denotes the foreman at a jobsite (often with sketchpad in hand)
etnikum,Etnikum,Gypsy,Hungarian word for ethnic.
eucalyptusnigger,Eucalyptus Nigger,Australian Aboriginals,The eucalyptus is a native plant of Australia.
eurinal,Eurinal,Europeans,Many European countries use pay-toilets having to pay for public restrooms. Europe + Urinal
euro,Euro,Mediterraneans,Represents whites of mediterannean nations such as Greeks Italians Spaniards and Portuguese. Named after the habit of starting every name with Euro. (Eurotunnel eurotrash etc)
eurotrash,Eurotrash,Europeans,A pseudo-intellectual who believes they are are smart and americans are stupid.
ewok,Ewok,Arabs,Refers to Muslim religious headdress resembling that worn by the Star Wars characters Ewoks.
extracrispy,Extra Crispy,Blacks,A southern exspression that represents their burnt appearence as well as their stereotypical love of fried chicken.
fabo,Fabo,Australian Aboriginals,Fucking Abos
fadi,Fadi,Arabs,Common Arab name plural is Fadii (Fa-Die).
fahim,Fahim,Blacks,Arabs use this word meaning charcoal to describe blacks and very dark arabs
fakemexican,Fake Mexican,Hispanics,Used to describe those who have lost the language culture etc. of Mexico.
fakeyjamaikey,Fakey Jamaikey,Blacks,Blacks who try to act Jamaican but actually aren't. Mostly used on TV or for musical purposes. For example Miss Cleo: psychic advisor and tarot card reader.
falasha,Falasha,Jews,Ethiopian Jews. A derogotory nickname. The proper name is Bet-Yisrael
fankuei,Fan Kuei,Whites,Chinese for ocean ghosts. Refers to skin color.
farang,Farang,Whites,From the Thai word for French (farangsayt) who were among the first to colonize Southeast Asia. Generally non-derogatory though depends on context and intention of speaker. Applies to people of non-Thai origin.
farang/falang,Farang/Falang,Whites,Means foreigner (i.e. non-Thai) of the white race. It is very frequently used in a simple descriptive way. It's negative only if the intent of the speaker is such.
farq,Farq,Whites,Arab word meaning chicken used to describe whites and light skinned arabs as in weak and fragile
fatalbert,Fat Albert,Blacks,Used against overweight African American males in reference to a popular 1980's cartoon created by Bill Cosby (for example saying hey hey hey around a fat black man could be considered offensive by some)
fbi,FBI,Native Americans,Full Blooded Indian. Used in the movie Thunderheart. Not really a slur.
feargal,Feargal,Blacks,Short for Feargal Sharkey (a UK Pop singer from late 70's and 80's) which rhymes with Darkie.
feather,Feather,Native Americans,Used to differentiate Indians from India (Dots) from those from America (Feathers).
featherhead,Featherhead,Native Americans,Comes from Native American tribes that wore feathered headdresses.
feb,Feb,Blacks,February is Black history month.
feb,Feb,British,Stands for Filthy (or Fucking) English Bastard.
felipeparkhurst,Felipe Parkhurst,Guatemalans,Exiled from the country for life for selling many children to slavery.
fencefairy,Fence Fairy,Mexicans,Reference to border crossing.
fence-hopper,Fence-Hopper,Mexicans,Mexicans hopping fences to get into the U.S.
fenian,Fenian,Irish,Refers to Irish Roman Catholic immigrants living in such large U.K. cities as Glasgow Liverpool and Manchester. Also used by Protestants to demean Catholics in Northern Ireland. Irish republicans use it to identify themselves as a member of Sien Fienn the political party of the IRA.  Derived from Gaelic stories of the Fianna a mythical group of warriors.  Not inherently derogatory.
fesskin,Fesskin,Mexicans,Fuckin' messkin (mexican)
fez,Fez,Arabs,They wear fezes the little hats.
fidel,Fidel,Hispanics,Reference to the infamous Cuban dictator Fidel Castro.
fieldnigger,Field Nigger,Blacks,Field nigger is the term used to label blacks who choose not to identify with popular white society and culture as opposed to house niggers--blacks who bend over backwards to win or maintain favor with whites while relishing in the fact that they at least reside in the house with the master rather then outside with the majority of blacks.
fieldrat,Field Rat,Mexicans,Working in Migrant Fields
figgobbler,Fig Gobbler,Arabs,They eat figs.
fila,FILA,Blacks,Finally I Left Africa popular clothing brand
filicheesesteak,Fili Cheese Steak,Filipinos,Refers to what it looks like when a Filipino woman is in a gangbang
filthypino,Filthy Pino,Filipinos,Poor Filipinos Filipinos who act black.
fingernailrancher,Fingernail Rancher,Asians,A lot of Asians own Nail Salons
finne,Finne,Finnish,Swedes call Finns for finne which means pimple in Swedish.
firangi,Firangi,Whites,From Arabic Firanji or Firangi in Egyptian Arabic meaning European. Corruption of French or Franks. Made famous in a slyly ironic way by the ultracapitalist Ferengi on Star Trek.
firebush,Fire Bush,Irish,Red hair.
firecrotch,Fire Crotch,Irish,They have red hair
firecracker,Firecracker,Whites,White women who date Black men. There used to be a firecracker called a niggerchaser but today they are called simply chasers.
firecracker,Firecracker,Arabs,They blow themselves up.
firewood,Firewood,Jews,WWII Holocaust reference. 'Nazi Firewood' to be more specific.
fischkopf,Fischkopf,Germans,Fish-head used by southern Germans for northern Germans
fish,Fish,Israelis,Fucking Israeli Shithead. See: Dib.
fish,Fish,Portuguese,Bacalou (codfish) is a major part of their diet.
fish,Fish,Bengals,Bengali's eat a lot of fish and go fishing often. This slur is used commonly by Pakistanis.
fish-belly,Fish-Belly,Whites,Similar color
fish-eater,Fish-Eater,Norwegians,Their diet consists almost entirely of fish.
fishhead,Fishhead,Asians,Japan's only true source of food is the sea so they eat a lot of fish.
flash,Flash,Americans,Fucking Lazy American Shit Head.  Used by Israelis to refer to American tourists who are accustomed to an easier standard of living.  Compare with dib entry in list.
flat-ass,Flat-ass,Whites,Used as reference to the flatter backsides of white people and other non-blacks
flat-back,Flat-Back,Whites,Term refers primarily to white women who unlike women of other races have flat butts and no shape.
flease,Flease,Greeks,Flap Grease. Since greeks work in the diners all of their lives their uncircumcised penis build up grease underneath the flap. hence the name Flease
fligga,Fligga,Filipinos,Flip + nigga. Filipino's attempting to act black.
fligger,Fligger,Filipinos,Filipinos that think they are black.
flip,Flip,Filipinos,Shortened and rearranged term easier to say. Could also stand for Funny (or Fucking) Little Island People.
flipper,Flipper,Mixed Races,Fillipino/Black Mix. Combination of Flip and Nigger.
flipsican,Flipsican,Mixed Races,Mexican Filipino
flockofseagulls,Flock of Seagulls,Whites,Making fun of a certain person's hairdo. Derived from the 80's band that made the 1 hit And I ran.
floppy,Floppy,Blacks,In Zimbabwe the blacks are referred to as floppies because of the floppy hats they wear on their heads.
floss,Floss,Asians,Tou can blindfold them with floss
flourbag,Flour Bag,Whites,For the pale pasty skin.
fob,FOB,Immigrants,Stands for Fresh off the Boat. Used in English-speaking countries for anyone with a heavy accent and are clearly immigrants mostly Asians or Indians.  See also: JOJ
fob,FOB,Mexicans,Fresh over the Border
foedy,Foedy,Blacks,Black people are known to drink 40oz beers
fof,FOF,Mexicans,Fresh Over the Fence.  Refrence to crossing the border from Mexico to US.
foghorn,Fog Horn,British,A loud/annoying British person.
fognigger,Fog Nigger,English,British Blacks. The weather is usually foggy in Britain.
fog-breather,Fog-Breather,British,Englands weather is often extremely foggy
fonzie,Fonzie,Italians,Happy Days character Arthur Fonzie Fonzarelli.
fortinjun/indian,Fort Injun/Indian,Native Americans,A term used to represent the [traitor?] Indians who hid behind the safety of the forts.
forty-fiver,Forty-Fiver,Chinese,Represents the angle of their eyes (45 degrees)
foster,Foster,Australians,Australian for piss-poor beer that no self-respecting Aussie would be seen dead drinking.
fountainswimmer,Fountain Swimmer,Australian Aboriginals,Homeless aboriginals are often spotted bathing/swimming in public fountains during the summer months.
fourbytwo,Four By Two,Jews,Cockney rhyming slang four by two = Jew.
fourfooter,Four Footer,Mexicans,Ususally used when referring to illegal immigrant workers. I'm gonna go down to 7-11 tomorrow morning to pick up a four-footer. Because mexicans are short.
franklin,Franklin,Blacks,The only black kid from the Peanuts series.
frasier,Frasier,Blacks,Term that represents people with big packages.
fremen,Fremen,Arabs,A reference to the Dune series of novels. Their nomadic lives in the desert are similar to that of Arabs. In addition they also speak Arabic.
fritz,Fritz,Germans,Russians in WWII called Germans Fritzes a common German name in those days (short for Friedrich). Also Germany was ruled by several emperors (Kaiser) with the name Friedrich.
frobro,FroBro,Blacks,From Afro hair style and Bro for brother.
frog,Frog,French,The French are said to laugh like frogs. When they laugh their adam's apples bulge out of their necks like frogs. Also perhaps from the French delicacy of frog-legs. Another possible derivation is the Fleur-de-Lys displayed on the French king's banner in the Middle Ages which to the English enemy looked like squatting frogs. UK origins.
frogman,Frogman,Colombians,Originated from the movie Scarface where Colombians were refered to as frogmen because of their squashed-like faces. Also: Frogface
frostback,Frostback,Canadians,A play on wetback altered to fit Canadians.
frostbite,Frostbite,Blacks,when one gets frostbite their skin becomes dark
frosty,Frosty,Whites,Frosty the Snowman
frotch,Frotch,Irish,See: Fire Crotch
frozenfrog,Frozen Frog,French Canadians,Canada = Cold French = Frog
fruit-picker,Fruit-Picker,Hispanics,The Mexicans who cross the border often pick fruit usually for pennies an hour. Often when it is time to give the illegal aliens their meager wages the plantation owner calls the border patrol to send them back.
fubu,FUBU,Blacks,As in the clothing line F.U.B.U. or known by African Americans as For Us By Us.  Racially translated to Farmers Used to Buy (or Beat) Us
fuji,Fuji,Japanese,Japanese tourists tend to wear cameras and take pictures 24/7. Mount Fuji is a mountain in Japan and a brand of film.
fumblin'dublin,Fumblin' Dublin,Irish,Known as a slur for drunk unemployed Irish men. They are usually found under the influence outside of Dublin's bars.
furlicker,Fur Licker,French,Sexual preference.
futureinmate,Future Inmate,Blacks,Two-thirds of American inmates are Black.
g/gee,G/Gee,Blacks,Shortened from Gangster or OG (Original Gangster). Used as a greeting between gang members (Yo G what up?). Used in a derogatory fashion by members of other races or non-gang members.
gabacho,Gabacho,Whites,Connotes imperialist; used by Mexicans and Mexican-Americans; apparently originated in Spain to refer to French.
gádzsó,Gádzsó,Hungarians,Gypsy term meaning peasant man
gai-jin,Gai-jin,Whites,Japanese equivalent to Goyim refers to anyone not Japanese but especially Westerners. Actually is a shortened version of Gai-koku-jin (literally outside-country-person the NICE way to say foreigner.)  Gai-Ko depending on how it's written in Japanese can mean diplomacy (outside-mingle) extroversion (outside-facing) outer harbor or a Japanese name in which ko means happiness
gai-ko,Gai-ko,Whites,Pronounced guy-ko. Derogatory way of saying gaijin which is 'foreigner' (literally outside person) in Japanese.
gallego,Gallego,Spaniards,Used by Cubans regarding Spaniards.
galleta,Galleta,Whites,Means cookie or cracker in Spanish.
gandhi,Gandhi,Indians,Famous Indian.
ganesh,Ganesh,Indians,A hindu god.
gans,Gans,Latvians,Derived from german name Hans - Latvia have close connections with Germany
gar,Gar,Blacks,Redneck term. Short for nig-GAR. Could also refer to the Gar a fish similar to the piranha found in streams in the Southern US and eating by many Southern Blacks.
gardengnome,Garden Gnome,Hispanics,They do all the gardening for rich white people
gardner,Gardner,Hispanics,Hispanics do most of the hired gardening.
gargamel,Gargamel,Jews,Refers to greedy money centered nature of Jews. Reference from Smurfs cartoon.
garlicbread,Garlic Bread,Italians,Self Explanatory.
garlicbreath,Garlic Breath,Italians,They eat a lot highly spiced dishes seasoned with garlic
gashuffer,Gas Huffer,Native Americans,A large number of Native Americans particularly those living in northwest Canada/Alaska are said to be addicted to inhalants.
gaspumper,Gas Pumper,Indians,Most gas station are owned and operated by Indians
gasbag,Gasbag,Native Americans,Some Natives are commonly prone to 'huffing' gas out of a plastic bag.
gatemaster,Gatemaster,Jews,Some say they are destined for hell.
gatorbait,Gatorbait,Blacks,Dark meat of the chicken that was fed to alligators.
gavacho,Gavacho,Whites,Mexican term for white Americans.  Used more commonly than the outdated Gringo
ged,GED,Blacks,The highest level of education many Blacks get to.
geechee,Geechee,Blacks,Specifically a derogatory term referring to the Gullah culture of African ex-slaves on the Atlantic coast of South Carolina/Georgia/Northern Florida.
geep,Geep,Italians,From Pinnochio's father Gepetto who was Italian.
generaltso,General Tso,Chinese,As in General Tso's chicken.
germ,Germ,Germans,Being a plague to humans sickening them
germancandle,German Candle,Jews,Nazi's incinerated many Jews during WW2
germanovenmitt,German Oven Mitt,Jews,WWII.
gew,Gew,Jews,A German Jew. Pronounced like 'goo'.
ghengi,Ghengi,Mongolians,Refers to Ghengis Khan used towards to Eastern Europeans of Mongol descent
ghetto,Ghetto,Blacks,Many Black people are forced into poor crowded neighborhoods like Jews were during the Holocaust. The crowded poor Jewish neighborhoods were called Ghettoes. So are the poor crowded neighborhoods that Blacks are forced into.
ghettohamster,Ghetto Hamster,Blacks,Black Children. A disposable pet.
ghettomonkey,Ghetto Monkey,Blacks,Blacks tend to live in ghettos.
ghinder,Ghinder,Indians,Origins are unknown.  The generally accepted derivative is from the ultimate ghinder Mahatma Gandhi.
ghost,Ghost,Whites,Ghosts are white.
ghostrider,Ghost Rider,Blacks,Blacks who have sex with whites.
ghoul,Ghoul,Whites,Ghouls are said to be pale skinned like a dead person
gilligan,Gilligan,Whites,Goofy white guy from Gilligan's Island.
gimmie,Gimmie,Arabs,7-11 workers gimmie a dollar
gimpy,Gimpy,Blacks,It is an often stereotype that most people who collect unemployment are black. And blacks pretend they are injured so they can collect.
gin,Gin,Australian Aboriginals,Represents Aboriginal female - they take offense
gina,Gina,Italians,Female term for Gino
gingerbreadman,Gingerbread Man,Jews,Reference to the practices of the former state of Germany.
gink,Gink,Asians,Cross between a gook and a chink
ginny,Ginny,Italians,In reference to popular Italian garb Ginny T's now more commonly known as wife beater shirts.
gino,Gino,Italians,Common Italian name  A Toronto municipal politician recently got into hot water for using this slur.
ginzo,Ginzo,Italians,From Guinee/Guinea.
glassnigger,Glass Nigger,Arabs,If an atomic weapon were to go off sand niggers would become glass niggers.
glendale,Glendale,Armenians,Glendale CA has a very large Armenian community
glocky,Glocky,Blacks,Always carry Glocks when the go dealing
glonni,Glonni,Native Americans,Navajo for drunk. Extremely offensive to anyone who speaks Navajo.
goatroper,Goat Roper,Arabs,See Camel Jockeys etc.
goatroper,Goat Roper,Whites,Often used as a term for suburban cowboys.
goatbanger,Goatbanger,Greeks,Self Explanatory
gob,GOB,Whites,Stands for Good Ol' Boy a redneck reference
gobbler,Gobbler,Greeks,Refers to the greek penis. They are uncircumcised the flap resembles the neck of a turkey also known as the gobbler.
godzillasnack,Godzilla Snack,Japanese,From the Godzilla movies
goggles,Goggles,Australian Aboriginals,Aboriginals have very large nostrils which resemble a pair of goggles
goldberg,Goldberg,Jews,Common Jewish name. Also has slight money-related reference.
goldentoe,Golden Toe,Whites,Whites who don't bathe get golden toes.
goldfishmonger,Goldfish Monger,Asians,A fish monger is a Shakespearean term for pimp and there are many coi at Chinese restaurants
goldie,Goldie,Jews,Jews had to wear gold stars of david during WW2
golliwog,Golliwog,Blacks,Refers to an old black caricature doll.
goloid,Goloid,Asians,Short for Mongoloid
gomer,Gomer,Whites,White goof Gomer Pyle from the television show of the same name. A spin-off of The Andy Griffith Show.
gongfei,Gong Fei,Chinese,In Chinese means communist bastard
goober,Goober,Whites,Black racists in NYC area use it to refer to Whites. Interestingly the goober peanut was one of the food products imported from Africa for the slaves to eat.
gook,Gook,Vietnamese,Term most likely dates back to the Philippine-American War (~1900) and has been used against a wide range of peoples usually Asians but occasionally Europeans and even the English. Unknown origins possibly goo-goo from the Tagalog language (a major language spoken in the Philippines). Although many have it originating in Korea either by referring Korea's original name Hanguk or during the Korean War when Koreans would ask American GI's Mi Guk? (American? in Korean) which sounded like they were saying Me gook. Was soon adopted for use in the Vietnam War.  Technically this should only apply to Koreans but the Vietnam War made it most popular when applied towards the Vietnamese.
gookaniese,Gookaniese,Vietnamese,Their language is Gookaniese.
gookemon,Gookemon,Asians,Gook + Pokemon.
gookiemonster,Gookie Monster,Vietnamese,Sounding like Cookie Moster from Sesame Street.
goombah,Goombah,Italians,From the Italian word Compare (pronounced 'cumpa') meaning a close friend. Considered a slur when used by non-Italians to describe an Italian male. Was first used by Louis Prima who was famous for bastardizing the Italian language in his witty songs for his American audience. The Goomba is also the weakest enemy in Nintendo's Super Mario Bros. video game series.
goonninja,Goon Ninja,Australian Aboriginals,A stealthy abo who goes around stealing goon.
gor,Gor,Blacks,Rodney Gor (ney-gor)
gora,Gora,Whites,Comes from Hindi
